Month,Category,Product / Line,Units Sold,Avg Price ($),Total Revenue ($),COGS ($),Gross Profit ($),Margin (%)
2026-01,Beverages,Panama Geisha Pour-Over,520,18.00,9360,1.80,7560,80.8%
2026-01,Beverages,Signature Espresso Drinks,4100,7.50,30750,1.15,26035,84.7%
2026-01,Retail Beans,Panama Geisha 250g Bag,140,48.00,6720,13.50,4830,71.9%
2026-01,Retail Beans,House Blend 250g Bag,380,24.00,9120,5.80,6916,75.8%
2026-01,Food,Artisanal Pastries,1850,8.50,15725,3.20,9805,62.4%
2026-02,Beverages,Panama Geisha Pour-Over,490,18.00,8820,1.80,7020,79.6%
2026-02,Beverages,Signature Espresso Drinks,3950,7.50,29625,1.15,25082,84.7%
2026-02,Retail Beans,Panama Geisha 250g Bag,155,48.00,7440,13.50,5347,71.9%
2026-02,Retail Beans,House Blend 250g Bag,410,24.00,9840,5.80,7462,75.8%
2026-02,Food,Artisanal Pastries,1720,8.50,14620,3.20,9116,62.4%
